id;date_x;price_x;bedrooms_x;bathrooms_x;sqft_living_x;sqft_lot_x;floors_x;waterfront_x;view_x;condition_x;grade_x;sqft_above_x;sqft_basement_x;yr_built_x;yr_renovated_x;zipcode_x;lat_x;long_x;sqft_living15_x;sqft_lot15_x;vendido_x;ajuste_quartos;vendido_experimento
621069146;20140818T000000;311000;3;1.75;1180;55321;1.0;0;0;3;8;1180;0;1941;2004;98042;473.329;-122.091;1480;56192;0;3.0;1
2976800749;20141031T000000;150000;4;2.0;1460;7254;1.0;0;0;3;6;1460;0;1959;0;98178;475.056;-122.254;1460;7236;0;;0
921059161;20140623T000000;320000;4;1.5;1890;43560;1.0;0;0;4;8;1890;0;1974;0;98092;473.267;-122.166;2376;5820;0;;1
104550580;20140520T000000;260000;4;2.5;1990;6671;2.0;0;0;3;7;1990;0;1989;0;98023;473.078;-122.358;1862;6566;0;;0
3734900110;20150204T000000;230000;2;0.75;890;19703;1.0;0;0;3;6;890;0;1934;0;98045;474.922;-121.783;1270;9800;0;;1
2621400080;20150128T000000;275000;4;2.5;2120;6754;2.0;0;0;3;7;2120;0;1998;0;98030;473.629;-122.184;2120;6937;0;;0
2321300351;20140612T000000;575000;2;1.0;1510;4032;1.5;0;0;3;8;1310;200;1935;0;98199;476.371;-122.393;1700;4042;0;;1
8087800480;20150331T000000;480000;5;2.5;2040;9597;1.0;0;0;4;7;1240;800;1963;0;98052;476.544;-122.134;1800;8553;0;;1
7137960440;20141223T000000;292500;4;2.5;1860;8709;2.0;0;0;3;8;1860;0;1994;0;98092;473.289;-122.17;1990;6825;0;;0
2730500140;20150423T000000;314950;4;1.75;1890;9623;1.0;0;0;4;7;1290;600;1969;0;98001;472.901;-122.279;1510;9711;0;;1
2548100140;20150116T000000;330000;4;1.5;1250;8400;1.0;0;0;3;7;960;290;1951;0;98155;477.505;-122.315;1560;8400;0;;0
1189000030;20140603T000000;650000;5;2.75;2550;5040;1.5;0;0;5;8;2550;0;1902;0;98122;476.136;-122.299;1590;3840;0;;1
2998800125;20140701T000000;730000;2;2.25;2130;4920;1.5;0;4;4;7;1530;600;1941;0;98116;47.573;-122.409;2130;4920;0;;0
